País,Producto,Elemento,Año,Valor,Z_score
Mundo,Energía,Emisiones (CO2),1989,21545820.0,80.50655
Mundo,Energía,Emisiones (CO2),1988,21171504.0,79.10617
Mundo,Energía,Emisiones (CO2),1987,20422728.0,76.30487
Mundo,Energía,Emisiones (CO2),1986,19930544.0,74.463524
Mundo,Energía,Emisiones (CO2),1985,19676446.0,73.5129
Mundo,Energía,Emisiones (CO2),1984,18998374.0,70.97611
Mundo,Energía,Emisiones (CO2),1979,18916560.0,70.67004
Mundo,Energía,Emisiones (CO2),1980,18851998.0,70.4285
Mundo,Energía,Emisiones (CO2),1983,18408944.0,68.77096
Mundo,Energía,Emisiones (CO2),1978,18372626.0,68.635086
Mundo,Energía,Emisiones (CO2),1981,18346106.0,68.535866
Mundo,Energía,Emisiones (CO2),1982,18208966.0,68.022804
Mundo,Energía,Emisiones (CO2),1977,17949720.0,67.05292
Mundo,Energía,Emisiones (CO2),1976,17491732.0,65.33951
Mundo,Energía,Emisiones (CO2),1973,16667056.0,62.25425
Mundo,Energía,Emisiones (CO2),1974,16616672.0,62.065754
Mundo,Energía,Emisiones (CO2),1975,16601466.0,62.008865
Mundo,Energía,Emisiones (CO2),1972,15839442.0,59.158
Mundo,Energía,Emisiones (CO2),1971,15161984.0,56.623512
Países Anexo I,Energía,Emisiones (CO2),1989,15011758.0,56.06149
Países Anexo I,Energía,Emisiones (CO2),1988,14894415.0,55.62249
Mundo,Energía,Emisiones (CO2),1970,14652643.0,54.71798
Países Anexo I,Energía,Emisiones (CO2),1979,14586752.0,54.47147
Países Anexo I,Energía,Emisiones (CO2),1987,14538646.0,54.291496
Países Anexo I,Energía,Emisiones (CO2),1980,14468072.0,54.027466
Países Anexo I,Energía,Emisiones (CO2),1985,14299130.0,53.395424
Países Anexo I,Energía,Emisiones (CO2),1986,14291055.0,53.365215
Países Anexo I,Energía,Emisiones (CO2),1978,14280267.0,53.324856
Países Anexo I,Energía,Emisiones (CO2),1977,14130666.0,52.76517
Países Anexo I,Energía,Emisiones (CO2),1981,13959220.0,52.123764
Países Anexo I,Energía,Emisiones (CO2),1984,13935167.0,52.033775
Países Anexo I,Energía,Emisiones (CO2),1976,13915047.0,51.958504
Países Anexo I,Energía,Emisiones (CO2),1983,13651912.0,50.97407
Países Anexo I,Energía,Emisiones (CO2),1982,13649474.0,50.96495
Mundo,Energía,Emisiones (CO2eq) (AR5),2022,13649362.0,50.96453
Países Anexo I,Energía,Emisiones (CO2),1973,13593949.0,50.75722
Mundo,Energía,Emisiones (CO2eq) (AR5),2019,13496639.0,50.393166
Países Anexo I,Energía,Emisiones (CO2),1974,13451241.0,50.223324
Mundo,Energía,Emisiones (CO2),1969,13381399.0,49.962036
Mundo,Energía,Emisiones (CO2eq) (AR5),2018,13367222.0,49.908997
Mundo,Energía,Emisiones (CO2eq) (AR5),2021,13358504.0,49.87638
Países Anexo I,Energía,Emisiones (CO2),1975,13240757.0,49.435867
Países No-Anexo I,Energía,Emisiones (CO2eq) (AR5),2022,13140807.0,49.06194
Mundo,Energía,Emisiones (CO2eq) (AR5),2017,13078014.0,48.82702
Países Anexo I,Energía,Emisiones (CO2),1972,13009976.0,48.572475
Mundo,Energía,Emisiones (CO2eq) (AR5),2016,12832668.0,47.909138
Mundo,Energía,Emisiones (CO2eq) (AR5),2015,12829473.0,47.897182
Países No-Anexo I,Energía,Emisiones (CO2eq) (AR5),2021,12804509.0,47.803787
Mundo,Energía,Emisiones (CO2eq) (AR5),2014,12801061.0,47.79089
Mundo,Energía,Emisiones (CO2eq) (AR5),2020,12738121.0,47.55542
Mundo,Energía,Emisiones (CO2eq) (AR5),2013,12692557.0,47.384956
Mundo,Energía,Emisiones (CO2eq) (AR5),2012,12656679.0,47.250732
Países No-Anexo I,Energía,Emisiones (CO2eq) (AR5),2019,12603515.0,47.051834
Mundo,Energía,Emisiones (CO2),1968,12544930.0,46.832657
Mundo,Energía,Emisiones (CO2eq) (AR5),2011,12497609.0,46.65562
Países Anexo I,Energía,Emisiones (CO2),1971,12458595.0,46.509663
Mundo,Energía,Emisiones (CO2),2022,12264162.0,45.782257
Países No-Anexo I,Energía,Emisiones (CO2eq) (AR5),2020,12231812.0,45.66123
Países No-Anexo I,Energía,Emisiones (CO2eq) (AR5),2018,12222593.0,45.62674
Países Anexo I,Energía,Emisiones (CO2),1970,12205199.0,45.561665
Mundo,Energía,Emisiones (CO2),2019,12122053.0,45.250603
Mundo,Energía,Emisiones (CO2eq) (AR5),2010,12094055.0,45.145855
Mundo,Energía,Emisiones (CO2),2021,12018805.0,44.864334
Mundo,Energía,Emisiones (CO2),2018,12007286.0,44.82124
Países No-Anexo I,Energía,Emisiones (CO2eq) (AR5),2017,11912308.0,44.465908
Mundo,Energía,Emisiones (CO2),1967,11900848.0,44.423035
